Month,AustralianPort,ForeignPort,Country,Passengers_In,Passengers_Out,Passengers_Total,Year,Month_num
19-Jan,Brisbane,Abu Dhabi,United Arab Emirates,9089,6821,15910,2019,1
19-Jan,Brisbane,Apia,Western Samoa,1869,1124,2993,2019,1
19-Jan,Brisbane,Auckland,New Zealand,45349,41864,87213,2019,1
19-Jan,Brisbane,Bangkok,Thailand,4669,4106,8775,2019,1
19-Jan,Brisbane,Beijing,China,1624,1523,3147,2019,1
19-Jan,Brisbane,Christchurch,New Zealand,13640,13062,26702,2019,1
19-Jan,Brisbane,Denpasar,Indonesia,19604,15898,35502,2019,1
19-Jan,Brisbane,Dubai,United Arab Emirates,28992,20958,49950,2019,1
19-Jan,Brisbane,Dunedin,New Zealand,1700,1700,3400,2019,1
19-Jan,Brisbane,Espiritu Santo,Vanuatu,480,397,877,2019,1
19-Jan,Brisbane,Guangzhou,China,8474,8052,16526,2019,1
19-Jan,Brisbane,Hong Kong,Hong Kong (SAR),19645,15091,34736,2019,1
19-Jan,Brisbane,Honiara,Solomon Islands,2256,2022,4278,2019,1
19-Jan,Brisbane,Honolulu,USA,3522,3009,6531,2019,1
19-Jan,Brisbane,Kuala Lumpur,Malaysia,6473,4483,10956,2019,1
19-Jan,Brisbane,Los Angeles,USA,18805,15872,34677,2019,1
19-Jan,Brisbane,Manila,Philippines,3307,2711,6018,2019,1
19-Jan,Brisbane,Nadi,Fiji,10162,7527,17689,2019,1
19-Jan,Brisbane,Nauru,Nauru,664,771,1435,2019,1
19-Jan,Brisbane,Noumea,New Caledonia,3461,3283,6744,2019,1
19-Jan,Brisbane,Port Moresby,Papua New Guinea,7417,8515,15932,2019,1
19-Jan,Brisbane,Port Vila,Vanuatu,4141,3321,7462,2019,1
19-Jan,Brisbane,Queenstown,New Zealand,4518,3622,8140,2019,1
19-Jan,Brisbane,Seoul,Korea,7987,6087,14074,2019,1
19-Jan,Brisbane,Shanghai,China,6667,5513,12180,2019,1
19-Jan,Brisbane,Shenzhen,China,1489,1178,2667,2019,1
19-Jan,Brisbane,Singapore,Singapore,44898,37858,82756,2019,1
19-Jan,Brisbane,Taipei,Taiwan,13275,11255,24530,2019,1
19-Jan,Brisbane,Tokyo,Japan,8264,7808,16072,2019,1
19-Jan,Brisbane,Vancouver,Canada,7307,5907,13214,2019,1
19-Jan,Brisbane,Wellington,New Zealand,7566,7282,14848,2019,1
19-Feb,Brisbane,Abu Dhabi,United Arab Emirates,5897,4562,10459,2019,2
19-Feb,Brisbane,Apia,Western Samoa,892,802,1694,2019,2
19-Feb,Brisbane,Auckland,New Zealand,33419,35909,69328,2019,2
19-Feb,Brisbane,Bangkok,Thailand,4295,3875,8170,2019,2
19-Feb,Brisbane,Beijing,China,3118,2870,5988,2019,2
19-Feb,Brisbane,Christchurch,New Zealand,10528,10539,21067,2019,2
19-Feb,Brisbane,Denpasar,Indonesia,14729,14792,29521,2019,2
