Month,AustralianPort,ForeignPort,Country,Passengers_In,Passengers_Out,Passengers_Total,Year,Month_num
19-Jan,Sydney,Abu Dhabi,United Arab Emirates,29307,21600,50907,2019,1
19-Jan,Sydney,Anchorage,USA,0,0,0,2019,1
19-Jan,Sydney,Apia,Western Samoa,2803,2056,4859,2019,1
19-Jan,Sydney,Auckland,New Zealand,84314,76306,160620,2019,1
19-Jan,Sydney,Bangkok,Thailand,25484,23044,48528,2019,1
19-Jan,Sydney,Beijing,China,15737,13128,28865,2019,1
19-Jan,Sydney,Changsha,China,1840,1663,3503,2019,1
19-Jan,Sydney,Chengdu,China,3091,2461,5552,2019,1
19-Jan,Sydney,Chicago,USA,0,0,0,2019,1
19-Jan,Sydney,Chongqing,China,1893,1547,3440,2019,1
19-Jan,Sydney,Christchurch,New Zealand,25827,25431,51258,2019,1
19-Jan,Sydney,Dallas,USA,10348,11389,21737,2019,1
19-Jan,Sydney,Denpasar,Indonesia,30779,25941,56720,2019,1
19-Jan,Sydney,Doha,Qatar,24483,21280,45763,2019,1
19-Jan,Sydney,Dubai,United Arab Emirates,41757,34040,75797,2019,1
19-Jan,Sydney,Fuzhou,China,2785,2452,5237,2019,1
19-Jan,Sydney,Guangzhou,China,28313,24535,52848,2019,1
19-Jan,Sydney,Haikou,China,2345,1618,3963,2019,1
19-Jan,Sydney,Hangzhou,China,1256,1028,2284,2019,1
19-Jan,Sydney,Hanoi,Vietnam,2771,3062,5833,2019,1
19-Jan,Sydney,Ho Chi Minh City,Vietnam,11690,11485,23175,2019,1
19-Jan,Sydney,Hong Kong,Hong Kong (SAR),65206,49117,114323,2019,1
19-Jan,Sydney,Honolulu,USA,22146,19257,41403,2019,1
19-Jan,Sydney,Houston,USA,7186,6289,13475,2019,1
19-Jan,Sydney,Jakarta,Indonesia,10185,8552,18737,2019,1
19-Jan,Sydney,Johannesburg,South Africa,7786,7467,15253,2019,1
19-Jan,Sydney,Kuala Lumpur,Malaysia,34924,29610,64534,2019,1
19-Jan,Sydney,Kunming,China,2617,2171,4788,2019,1
19-Jan,Sydney,London,UK,10801,10901,21702,2019,1
19-Jan,Sydney,Los Angeles,USA,48126,41426,89552,2019,1
19-Jan,Sydney,Louisville,USA,0,0,0,2019,1
19-Jan,Sydney,Manila,Philippines,25879,21488,47367,2019,1
19-Jan,Sydney,Medan,Indonesia,0,0,0,2019,1
19-Jan,Sydney,Nadi,Fiji,25997,21507,47504,2019,1
19-Jan,Sydney,Nanjing,China,1885,1491,3376,2019,1
19-Jan,Sydney,New Delhi,India,5252,4600,9852,2019,1
19-Jan,Sydney,New York,USA,2639,2504,5143,2019,1
19-Jan,Sydney,Noumea,New Caledonia,5964,5072,11036,2019,1
19-Jan,Sydney,Osaka,Japan,4198,3890,8088,2019,1
19-Jan,Sydney,Phuket,Thailand,4038,3993,8031,2019,1
19-Jan,Sydney,Port Moresby,Papua New Guinea,561,679,1240,2019,1
19-Jan,Sydney,Port Vila,Vanuatu,4725,3552,8277,2019,1
19-Jan,Sydney,Qingdao,China,2529,2249,4778,2019,1
19-Jan,Sydney,Queenstown,New Zealand,17018,16140,33158,2019,1
19-Jan,Sydney,Rarotonga,Cook Islands,1034,900,1934,2019,1
19-Jan,Sydney,San Francisco,USA,16132,13798,29930,2019,1
19-Jan,Sydney,Santiago,Chile,9683,9219,18902,2019,1
19-Jan,Sydney,Sapporo,Japan,0,0,0,2019,1
19-Jan,Sydney,Seoul,Korea,24227,24002,48229,2019,1
19-Jan,Sydney,Shanghai,China,25367,22528,47895,2019,1
19-Jan,Sydney,Shenzhen,China,3352,2693,6045,2019,1
19-Jan,Sydney,Singapore,Singapore,73410,60319,133729,2019,1
19-Jan,Sydney,Suva,Fiji,653,735,1388,2019,1
19-Jan,Sydney,Taipei,Taiwan,14629,10596,25225,2019,1
19-Jan,Sydney,Tianjin,China,492,358,850,2019,1
19-Jan,Sydney,Tokyo,Japan,22353,21952,44305,2019,1
19-Jan,Sydney,Tongatapu,Tonga,1385,1019,2404,2019,1
19-Jan,Sydney,Toronto,Canada,1361,1124,2485,2019,1
19-Jan,Sydney,Vancouver,Canada,10974,9642,20616,2019,1
19-Jan,Sydney,Wellington,New Zealand,16558,15979,32537,2019,1
19-Jan,Sydney,Wuhan,China,2097,1655,3752,2019,1
19-Jan,Sydney,Xiamen,China,3185,3110,6295,2019,1
19-Jan,Sydney,Xi'an,China,2712,2044,4756,2019,1
19-Jan,Sydney,Zhengzhou,China,1400,1218,2618,2019,1
19-Feb,Sydney,Abu Dhabi,United Arab Emirates,19959,14820,34779,2019,2
19-Feb,Sydney,Anchorage,USA,0,0,0,2019,2
19-Feb,Sydney,Apia,Western Samoa,1229,828,2057,2019,2
19-Feb,Sydney,Auckland,New Zealand,64574,64783,129357,2019,2
19-Feb,Sydney,Bangkok,Thailand,23440,18858,42298,2019,2
19-Feb,Sydney,Beijing,China,14240,11990,26230,2019,2
19-Feb,Sydney,Changsha,China,1715,1328,3043,2019,2
19-Feb,Sydney,Chengdu,China,2953,2204,5157,2019,2
19-Feb,Sydney,Chicago,USA,0,0,0,2019,2
19-Feb,Sydney,Chongqing,China,1924,1506,3430,2019,2
19-Feb,Sydney,Christchurch,New Zealand,20587,21337,41924,2019,2
19-Feb,Sydney,Dallas,USA,7253,7272,14525,2019,2
19-Feb,Sydney,Denpasar,Indonesia,21829,19362,41191,2019,2
19-Feb,Sydney,Doha,Qatar,19583,16334,35917,2019,2
19-Feb,Sydney,Dubai,United Arab Emirates,30196,22940,53136,2019,2
19-Feb,Sydney,Fuzhou,China,2460,1935,4395,2019,2
19-Feb,Sydney,Guangzhou,China,27910,24137,52047,2019,2
19-Feb,Sydney,Haikou,China,1809,1582,3391,2019,2
19-Feb,Sydney,Hangzhou,China,1413,1299,2712,2019,2
19-Feb,Sydney,Hanoi,Vietnam,3073,2171,5244,2019,2
19-Feb,Sydney,Ho Chi Minh City,Vietnam,10856,9349,20205,2019,2
19-Feb,Sydney,Hong Kong,Hong Kong (SAR),57130,46911,104041,2019,2
19-Feb,Sydney,Honolulu,USA,14470,12344,26814,2019,2
